DET_NUM,DET_ID,DET_TYPE_ID
1,UNK,UNK
2,AS,AS
3,HPGE,HPGE
4,GELI,GELI
5,LBAB,GPC
6,LBB,LBB
7,IPC,IPC
8,AIR,AIR
9,SC,SC
10,LS,LS
11,NAI,NAI
12,PERALS,PERALS
13,AS01,AS
14,AS02,AS
15,AS03,AS
16,AS04,AS
17,AS05,AS
18,AS06,AS
19,AS07,AS
20,AS08,AS
21,AS09,AS
22,AS10,AS
23,AS11,AS
24,AS12,AS
25,AS17,AS
26,AS18,AS
27,AS19,AS
28,AS20,AS
29,AS21,AS
30,AS22,AS
31,AS23,AS
32,AS24,AS
33,AS25,AS
34,AS26,AS
35,AS27,AS
36,AS28,AS
37,AS29,AS
38,AS30,AS
39,GE01,HPGE
40,GE02,HPGE
41,GE03,HPGE
42,GE04,HPGE
43,GE05,HPGE
44,GE06,HPGE
45,GE07,HPGE
46,GE08,HPGE
47,GE09,HPGE
48,GE10,HPGE
49,GE11,HPGE
50,GE12,HPGE
51,GE13,HPGE
52,GE14,HPGE
53,T1A1,GPC
54,T1A2,GPC
55,T1A3,GPC
56,T1A4,GPC
57,T1B1,GPC
58,T1B2,GPC
59,T1B3,GPC
60,T1B4,GPC
61,T2A1,GPC
62,T2A2,GPC
63,T2A3,GPC
64,T2A4,GPC
65,T2B1,GPC
66,T2B2,GPC
67,T2B3,GPC
68,T2B4,GPC
69,TN1A,LBB
70,TN1B,LBB
71,TN1C,LBB
72,TN1D,LBB
73,TN2A,LBB
74,TN2B,LBB
75,TN2C,LBB
76,TN2D,LBB
77,TN3A,LBB
78,TN3B,LBB
79,TN3C,LBB
80,TN3D,LBB
81,TN4A,LBB
82,TN4B,LBB
83,TN4C,LBB
84,TN4D,LBB
85,TN5A,LBB
86,TN5B,LBB
87,TN5C,LBB
88,TN5D,LBB
89,SH1A,LBB
90,SH1B,LBB
91,SH2A,LBB
92,SH2B,LBB
93,SH3A,LBB
94,SH3B,LBB
95,ABET,LBB
96,IPC1,IPC
97,IPC2,IPC
98,IPC3,IPC
99,AIR1,AIR
100,AIR2,AIR
101,AIR3,AIR
102,AF01,AIR
103,G54A,GPC
104,G54B,GPC
105,G54C,GPC
106,G54D,GPC
107,CC01,NAI
108,CC02,NAI
109,CC03,NAI
110,CC04,NAI
111,CC05,NAI
112,CC06,NAI
113,CC07,NAI
114,CC08,NAI
115,PE01,PERALS
116,NAI01,NAI
117,NAI02,NAI
118,GEL01,GELI
119,GEL02,GELI
120,AS16,AS
121,LSC,LS
122,NAI03,NAI
123,AS13,AS
124,AS14,AS
125,IPC6,IPC
126,AS15,AS
127,GEL03,GELI
128,GEL06,GELI
129,GEL04,GELI
130,AA,AA
131,NAI04,NAI
132,NAI05,NAI
133,IPC5,IPC
134,GEL05,GELI
135,IPC4,IPC
136,IPC7,IPC
137,IPC8,IPC
138,GEL07,GELI
139,IPC9,IPC
140,GEL09,GELI
141,TC,UNK
142,SC05,SC
143,SC06,SC
144,LCA,SC
145,LCB,SC
146,LCC,SC
147,LCD,SC
148,SC02,SC
149,SC03,SC
150,SC04,SC
151,SC01,SC
152,LCE,SC
153,LCF,SC
154,LCH,SC
155,LCI,SC
156,LCJ,SC
157,LCK,SC
158,LC1A,SC
159,LS01,LS
160,LC2E,SC
161,LC2A,SC
162,LC2B,SC
163,LC1X,SC
164,LC2C,SC
165,LC2D,SC
166,LC2X,SC
167,LC3X,SC
168,LC2H,SC
169,LC1B,SC
170,LC1C,SC
171,LC1D,SC
172,LC1H,SC
173,LC1I,SC
174,LC1E,SC
175,LCG,SC
176,LC3B,SC
177,LC3C,SC
178,LC3D,SC
179,LC3E,SC
180,LC3H,SC
181,LC3I,SC
182,LC3J,SC
183,LC3K,SC
184,LC3A,SC
185,LC1L,SC
186,LC1M,SC
187,LCL,SC
188,AS55,AS
189,LC1F,SC
190,LC1G,SC
191,AS33,AS
192,AS34,AS
193,AS35,AS
194,AS36,AS
195,AS37,AS
196,AS38,AS
197,AS39,AS
198,AS40,AS
199,AA01,AA
200,LS02,LS
201,LKB,LS
202,GE15,HPGE
203,ICP/MS,ICP-MS
204,LC1X2,SC
205,LC2X2,SC
206,LC2J,SC
207,LC2K,SC
208,LC2L,SC
209,LC2M,SC
210,LC2G,SC
211,LC2F,SC
212,QA1A,GPC
213,QA1B,GPC
214,QA1C,GPC
215,QA1D,GPC
216,QA2A,GPC
217,QA2B,GPC
218,QA2C,GPC
219,QA2D,GPC
220,QB1A,GPC
221,QB1B,GPC
222,QB1C,GPC
223,QB1D,GPC
224,QB2A,GPC
225,QB2B,GPC
226,QB2C,GPC
227,QB2D,GPC
228,AS41,AS
229,AS42,AS
230,AS43,AS
231,AS44,AS
232,AS45,AS
233,AS46,AS
234,AS47,AS
235,AS48,AS
236,GE16,HPGE
237,AF02,AIR
238,LC4A,SC
239,LC4D,SC
240,LC4G,SC
241,LC4C,SC
242,LC4E,SC
243,LC4F,SC
244,LC4H,SC
245,LC4I,SC
246,LC4J,SC
247,LC4K,SC
248,LC4L,SC
249,LC4M,SC
250,1X4,SC
251,2X4,SC
252,LC2X4,SC
253,LC1X4,SC
254,LC3X4,SC
255,LC4B,SC
256,FIMS,FIMS
257,GE17,HPGE
258,GE18,HPGE
259,GCMS1,GC/MS
260,GCMS2,GC/MS
261,GCMS3,GC/MS
262,GCECD4,GC/ECD
263,GCECD5,GC/ECD
264,AS56,AS
265,AS57,AS
266,AS58,AS
267,AS59,AS
268,AS60,AS
269,AS61,AS
270,AS62,AS
271,AS63,AS
272,AS64,AS
273,AS65,AS
274,AS66,AS
275,AS67,AS
276,AS68,AS
277,AS69,AS
278,AS70,AS
279,AS71,AS
280,AS72,AS
281,QD1A,GPC
282,QD1B,GPC
283,QD1C,GPC
284,QD1D,GPC
285,QD2A,GPC
286,QD2B,GPC
287,QD2C,GPC
288,QD2D,GPC
289,QC1A,GPC
290,QC1B,GPC
291,QC1C,GPC
292,QC1D,GPC
293,QC2A,GPC
294,QC2B,GPC
295,QC2C,GPC
296,QC2D,GPC
297,GCFID6,GC/FID
298,GCMS7,GC/MS
299,ICPMS1,ICP-MS
300,ICPMS2,ICP-MS
301,PEFIMS,FIMS
302,GQ2A,GPC
303,GQ2B,GPC
304,GQ2C,GPC
305,GQ2D,GPC
306,LS03,LS
307,PR01,AIR
308,AS49,AS
309,AS50,AS
310,AS51,AS
311,AS52,AS
312,AS53,AS
313,AS54,AS
314,GE22,HPGE
315,GE19,HPGE
316,GE20,HPGE
317,GE21,HPGE
318,AS81,AS
319,AS82,AS
320,AS83,AS
321,AS84,AS
322,AS85,AS
323,AS86,AS
324,AS87,AS
325,AS88,AS
326,AS89,AS
327,AS90,AS
328,AS91,AS
329,AS92,AS
330,AS93,AS
331,AS94,AS
332,AS95,AS
333,AS96,AS
334,AS73,AS
335,AS74,AS
336,AS75,AS
337,AS76,AS
338,AS77,AS
339,AS78,AS
340,AS79,AS
341,AS80,AS
342,AS97,AS
343,AS98,AS
344,AS99,AS
345,AS100,AS
346,AS101,AS
347,AS102,AS
348,AS103,AS
349,AS104,AS
350,AS105,AS
351,AS106,AS
352,AS107,AS
353,AS108,AS
354,AS109,AS
355,AS110,AS
356,AS111,AS
357,AS112,AS
358,AS121,AS
359,AS122,AS
360,AS123,AS
361,AS124,AS
362,AS125,AS
363,AS126,AS
364,AS127,AS
365,AS128,AS
366,LS04,LS
367,GE23,HPGE
368,AS113,AS
369,AS114,AS
370,AS115,AS
371,AS116,AS
372,AS117,AS
373,AS118,AS
374,AS119,AS
375,AS120,AS
376,AS129,AS
377,AS130,AS
378,AS131,AS
379,AS132,AS
380,AS133,AS
381,AS134,AS
382,AS135,AS
383,AS136,AS
384,AS137,AS
385,AS138,AS
386,AS139,AS
387,AS140,AS
388,AS141,AS
389,AS142,AS
390,AS143,AS
391,AS144,AS
392,TN03,AIR
393,TN04,AIR
394,LS05,LS
395,GE24,HPGE
396,GE25,HPGE
397,GE32,HPGE
398,GE33,HPGE
399,GE34,HPGE
