LOC_NUM,STATE_ABBR,CITY_NAME,SURFACE_WATER_SOURCE,STATION
1,AL,MONTGOMERY,NA,MONTGOMERY
2,AL,BIRMINGHAM,NA,BIRMINGHAM
3,AL,MOBILE,NA,MOBILE
5,AL,DOTHAN,Chattahoochee River,DOTHAN
6,FL,TALLAHASSEE,NA,TALLAHASSEE
7,FL,MIAMI,NA,MIAMI
9,FL,JACKSONVILLE,NA,JACKSONVILLE
10,GA,ATLANTA,NA,ATLANTA
11,GA,SAVANNAH,NA,SAVANNAH
13,GA,AUGUSTA,NA,AUGUSTA
23,DC,WASHINGTON,NA,WASHINGTON
24,CT,HARTFORD,NA,HARTFORD
25,NY,NEW YORK CITY,NA,NEW YORK CITY
26,MD,CONOWINGO,Susquehanna River,CONOWINGO
27,PA,HARRISBURG,NA,HARRISBURG
28,WA,RICHLAND,Columbia River,RICHLAND
29,PA,COLUMBIA,NA,COLUMBIA
30,WI,TWO CREEKS,Lake Michigan,TWO CREEKS
31,MI,CHARLEVOIX,Lake Michigan,CHARLEVOIX
33,MA,BOSTON,NA,BOSTON
35,WY,LARAMIE,NA,LARAMIE
37,AK,FAIRBANKS,NA,FAIRBANKS
39,ID,IDAHO FALLS,NA,IDAHO FALLS
40,RI,PROVIDENCE,NA,PROVIDENCE
41,MI,DETROIT,NA,DETROIT
42,WA,SEATTLE,NA,SEATTLE
43,NV,LAS VEGAS,NA,LAS VEGAS
44,TX,EL PASO,Rio Grande,EL PASO
45,LA,NEW ORLEANS,Mississippi River,NEW ORLEANS
46,OH,CINCINNATI,NA,CINCINNATI
47,MO,JEFFERSON CITY,NA,JEFFERSON CITY
48,CA,LOS ANGELES,NA,LOS ANGELES
49,PA,PITTSBURGH,NA,PITTSBURGH
50,MI,BRIDGMAN,Lake Michigan,BRIDGMAN
51,AR,LITTLE ROCK,Arkansas River,LITTLE ROCK
52,MI,S. HAVEN,Lake Michigan,S. HAVEN
55,NJ,TRENTON,NA,TRENTON
56,NY,NIAGARA FALLS,NA,NIAGARA FALLS
57,SC,BARNWELL,NA,BARNWELL
58,ND,BISMARCK,NA,BISMARCK
59,R01,REGION 1,NA,REGION 1
60,R02,REGION 2,NA,REGION 2
61,R03,REGION 3,NA,REGION 3
62,R04,REGION 4,NA,REGION 4
63,R05,REGION 5,NA,REGION 5
64,R06,REGION 6,NA,REGION 6
65,R07,REGION 7,NA,REGION 7
66,R08,REGION 8,NA,REGION 8
67,R09,REGION 9,NA,REGION 9
68,R10,REGION 10,NA,REGION 10
70,OH,E. LIVERPOOL,NA,E. LIVERPOOL
71,TN,CHATTANOOGA,NA,CHATTANOOGA
72,CA,SAN ONOFRE,Pacific Ocean,SAN ONOFRE
73,PA,DANVILLE,Susquehanna River,DANVILLE
75,HI,HONOLULU,NA,HONOLULU
76,MI,GRAND RAPIDS,NA,GRAND RAPIDS
77,FL,TAMPA,NA,TAMPA
78,NJ,BAYSIDE,Delaware River,BAYSIDE
79,AK,ANCHORAGE,NA,ANCHORAGE
80,CO,DENVER,NA,DENVER
81,WI,GENOA,NA,GENOA
82,CA,DIABLO CANYON,Pacific Ocean,DIABLO CANYON
83,MI,MONROE,Lake Erie,MONROE
84,CO,GREELEY,NA,GREELEY
85,VT,VERNON,Connecticut River,VERNON
86,MN,MINNEAPOLIS/ST. PAUL,NA,MINNEAPOLIS/ST. PAUL
87,CO,PLATTEVILLE,South Platte River,PLATTEVILLE
88,VA,NEWPORT NEWS,James River,NEWPORT NEWS
89,CA,CLAY STATION,Folsom S. Canal,CLAY STATION
92,DE,WILMINGTON,NA,WILMINGTON
93,WI,VICTORY,Mississippi River,VICTORY
94,OR,WESTPORT,Columbia River,WESTPORT
95,WI,MILWAUKEE,NA,MILWAUKEE
96,OK,OKLAHOMA CITY,NA,OKLAHOMA CITY
97,MD,BALTIMORE,NA,BALTIMORE
98,PC,CRISTOBAL,NA,CRISTOBAL
99,SC,SENECA,NA,SENECA
100,MS,JACKSON,NA,JACKSON
101,NC,CHARLOTTE,Catawba River,CHARLOTTE
102,WV,CHARLESTON,NA,CHARLESTON
103,SC,JENKINSVILLE,NA,JENKINSVILLE
104,WA,NORTHPORT,Columbia River,NORTHPORT
105,TX,AUSTIN,NA,AUSTIN
106,TX,DALLAS,NA,DALLAS
107,UT,SALT LAKE CITY,NA,SALT LAKE CITY
108,ME,PORTLAND,NA,PORTLAND
109,KY,LOUISVILLE,NA,LOUISVILLE
110,OR,PORTLAND,NA,PORTLAND
111,IL,CHICAGO,NA,CHICAGO
112,IN,INDIANAPOLIS,NA,INDIANAPOLIS
113,OH,CLEVELAND,NA,CLEVELAND
114,PA,PHILADELPHIA,NA,PHILADELPHIA
115,NY,BUFFALO,NA,BUFFALO
116,NY,SYRACUSE,NA,SYRACUSE
117,NM,ALBUQUERQUE,NA,ALBUQUERQUE
118,MT,HELENA,NA,HELENA
119,IA,DES MOINES,NA,DES MOINES
120,NH,MANCHESTER,NA,MANCHESTER
121,VA,NORFOLK,NA,NORFOLK
122,SC,ANDERSON,NA,ANDERSON
124,ND,MINOT,NA,MINOT
