PROJ_NUM,STUDY_NUM,PROJ_ID,PROJ_NAME
40,1,PMN 1978-4,PMN 1978-4
41,4,DW 1978-4,DW 1978-4
42,5,SW 1978-4,SW 1978-4
53,3,TR 1978-3,TR 1978-3
54,1,PMNC 1978-4,PMNC 1978-4
57,5,SW 1978-3,SW 1978-3
61,3,TR 1978-4,TR 1978-4
66,2,PUUA 1978-3,PUUA 1978-3
67,2,PUUA 1978-4,PUUA 1978-4
68,4,DWCP 1978,DWCP 1978
69,1,PMN 1979-1,PMN 1979-1
70,5,SW 1979-1,SW 1979-1
71,4,DW 1979-1,DW 1979-1
73,1,PMNC 1979-1,PMNC 1979-1
76,3,TR 1979-1,TR 1979-1
80,1,PMN 1979-2,PMN 1979-2
81,4,DW 1979-2,DW 1979-2
82,5,SW 1979-2,SW 1979-2
90,3,TR 1979-2,TR 1979-2
91,2,PUUA 1979-1,PUUA 1979-1
93,1,PMN 1979-3,PMN 1979-3
94,4,DW 1979-3,DW 1979-3
95,5,SW 1979-3,SW 1979-3
96,1,PMNC 1979-2,PMNC 1979-2
98,3,TRCP 1979,TRCP 1979
100,3,TR 1979-3,TR 1979-3
104,1,PMN 1979-4,PMN 1979-4
105,4,DW 1979-4,DW 1979-4
106,5,SW 1979-4,SW 1979-4
107,2,PUUA 1979-2,PUUA 1979-2
108,1,PMNC 1979-4,PMNC 1979-4
109,3,TR 1979-4,TR 1979-4
111,1,PMN 1980-1,PMN 1980-1
112,4,DW 1980-1,DW 1980-1
113,5,SW 1980-1,SW 1980-1
114,2,PUUA 1979-3,PUUA 1979-3
121,1,PMNC 1980-1,PMNC 1980-1
123,3,TR 1980-1,TR 1980-1
132,1,PMN 1980-2,PMN 1980-2
133,4,DW 1980-2,DW 1980-2
134,5,SW 1980-2,SW 1980-2
135,2,PUUA 1979-4,PUUA 1979-4
136,4,DWCP 1979,DWCP 1979
139,1,PMNC 1980-2,PMNC 1980-2
146,2,PUUA 1980-1,PUUA 1980-1
147,3,TR 1980-2,TR 1980-2
151,4,DW 1980-3,DW 1980-3
152,5,SW 1980-3,SW 1980-3
153,1,PMN 1980-3,PMN 1980-3
155,3,TRCP 1980,TRCP 1980
158,2,PUUA 1980-2,PUUA 1980-2
161,3,TR 1980-3,TR 1980-3
167,4,DW 1980-4,DW 1980-4
169,1,PMN 1980-4,PMN 1980-4
170,5,SW 1980-4,SW 1980-4
173,1,PMNC 1980-4,PMNC 1980-4
174,2,PUUA 1980-3,PUUA 1980-3
175,3,TR 1980-4,TR 1980-4
179,4,DW 1981-1,DW 1981-1
180,1,PMN 1981-1,PMN 1981-1
181,5,SW 1981-1,SW 1981-1
182,4,DWCP 1980,DWCP 1980
184,1,PMNC 1981-1,PMNC 1981-1
187,2,RAN 1981-1,RAN 1981-1
190,2,PUUA 1980-4,PUUA 1980-4
192,3,TR 1981-1,TR 1981-1
198,1,PMN 1981-2,PMN 1981-2
199,4,DW 1981-2,DW 1981-2
200,5,SW 1981-2,SW 1981-2
201,2,RAN 1981-2,RAN 1981-2
202,2,PUUA 1981-1,PUUA 1981-1
206,3,TR 1981-2,TR 1981-2
207,1,PMNC 1981-2,PMNC 1981-2
210,1,PMN 1981-3,PMN 1981-3
211,2,RAN 1981-3,RAN 1981-3
212,4,DW 1981-3,DW 1981-3
213,5,SW 1981-3,SW 1981-3
216,2,PUUA 1981-2,PUUA 1981-2
219,3,TR 1981-3,TR 1981-3
226,4,DW 1981-4,DW 1981-4
227,5,SW 1981-4,SW 1981-4
228,1,PMN 1981-4,PMN 1981-4
229,2,RAN 1981-4,RAN 1981-4
230,2,PUUA 1981-3,PUUA 1981-3
231,1,PMNC 1981-4,PMNC 1981-4
232,3,TR 1981-4,TR 1981-4
234,3,TRCP 1981,TRCP 1981
235,1,PMN 1982-1,PMN 1982-1
236,2,RAN 1982-1,RAN 1982-1
237,4,DW 1982-1,DW 1982-1
238,5,SW 1982-1,SW 1982-1
239,4,DWCP 1981,DWCP 1981
240,1,PMNC 1982-1,PMNC 1982-1
241,2,PUUA 1981-4,PUUA 1981-4
242,3,TR 1982-1,TR 1982-1
245,1,PMN 1982-2,PMN 1982-2
246,2,RAN 1982-2,RAN 1982-2
247,4,DW 1982-2,DW 1982-2
248,5,SW 1982-2,SW 1982-2
250,2,PUUA 1982-1,PUUA 1982-1
252,1,PMNC 1982-2,PMNC 1982-2
253,3,TR 1982-2,TR 1982-2
257,4,DW 1982-3,DW 1982-3
258,5,SW 1982-3,SW 1982-3
259,1,PMN 1982-3,PMN 1982-3
260,2,RAN 1982-3,RAN 1982-3
262,2,PUUA 1982-2,PUUA 1982-2
264,3,TRCP 1982,TRCP 1982
265,3,TR 1982-3,TR 1982-3
267,2,RAN 1982-4,RAN 1982-4
268,4,DW 1982-4,DW 1982-4
269,1,PMN 1982-4,PMN 1982-4
271,5,SW 1982-4,SW 1982-4
273,2,PUUA 1982-3,PUUA 1982-3
275,1,PMNC 1982-4,PMNC 1982-4
276,3,TR 1982-4,TR 1982-4
287,1,PMN 1983-1,PMN 1983-1
288,2,RAN 1983-1,RAN 1983-1
289,4,DW 1983-1,DW 1983-1
290,5,SW 1983-1,SW 1983-1
292,4,DWCP 1982,DWCP 1982
294,2,PUUA 1982-4,PUUA 1982-4
297,3,TR 1983-1,TR 1983-1
298,24,KR,Kr-85 in Air
302,4,DW 1983-2,DW 1983-2
303,2,RAN 1983-2,RAN 1983-2
304,5,SW 1983-2,SW 1983-2
305,1,PMN 1983-2,PMN 1983-2
308,1,PMNC 1983-1,PMNC 1983-1
311,2,PUUA 1983-1,PUUA 1983-1
314,3,TR 1983-2,TR 1983-2
315,1,PMNC 1983-2,PMNC 1983-2
316,1,PMN 1983-3,PMN 1983-3
317,2,RAN 1983-3,RAN 1983-3
318,4,DW 1983-3,DW 1983-3
